key	epic	findings	title	acceptance	depends
D01	data	C01	Bind enrichment responses to request UUID order	An out-of-order cache-probe regression proves each fetched response updates its originating UUID, including mixed hits and invalid rows.	""
D02	data	C02	Restrict enrichment candidate reads to a captured project	Two-project fixture proves only the captured project's unenriched cards enter the batch.	""
D03	data	C02	Assign the front project ID to synthesized DFC backs	Enriching a DFC creates a back with exactly its front projectId and valid reciprocal links.	D02
D04	data	C02	Fence enrichment writes after a project switch	Deferred enrichment resolved after a switch performs no obsolete card or image writes.	D02
D05	data	C04	Make same-image back relinking refcount-neutral	Repeating assignment of the existing back image leaves its refCount unchanged in a focused regression.	""
D06	data	C04	Remove duplicate back-reference reservation from Scryfall conversion	Quantity-one and quantity-four converter fixtures have one counted reference per linked back after linking.	D05
D07	data	C04	Remove duplicate back-reference reservation from direct DFC import	Direct MPC/Scryfall-back fallback fixtures count only actual linked backs for each imported quantity.	D05
D08	data	C04	Remove duplicate reservation from explicit-back direct import	Explicit-back imports retain exactly one image reference per linked card with a focused test.	D05
D09	data	C05	Scope duplicate ordering reads to the source project	Duplicating in A leaves B's order and fields byte-identical in a shared-name two-project fixture.	""
D10	data	C05	Reject mixed-project UUID inputs to bulk duplicate	A mixed-project request fails before writes while a same-project request succeeds.	D09
D11	data	C05	Restrict shared-image bleed mutation targets by project	A bleed edit on a shared image in A cannot change the referencing card in B.	""
D12	data	C05	Restrict same-name bleed selection to the editor project	Apply-to-named selection supplies only same-project UUIDs for names shared across projects.	D11
D13	data	U01	Scope editor Apply to All to the captured project	Apply to All in A writes overrides and schedules pre-renders only for A; B is unchanged.	""
D14	data	U01	Reject cross-project selections in editor bulk apply	A selected UUID from another project is rejected before the bulk override transaction writes anything.	D13
D15	data	C09	Add a compound project-order Dexie index	A schema-upgrade fixture retains existing cards and exposes a usable projectId plus order index.	""
D16	data	C09	Use a project-local maximum order in addCards	Adding to A ignores B's distant order values and preserves explicit incoming order values.	D15
D17	data	C09	Use a project-local maximum order in stream imports	Stream placeholders append within their own project without reading another project's order space.	D15
D18	data	C09	Serialize append-order reservation with card insertion	Two concurrent same-project appends have deterministic noncolliding front order slots while linked backs retain intended order.	D16,D17
D19	data	S05	Preserve id and oracle_id in cached-card projection	A SQL-row conversion regression retains both identity fields and existing payload fields unchanged.	""
D20	data	S05	Verify cached token lookup preserves oracle resolution	A cache-hit fixture follows oracle identity to the intended latest token print without changing the network-path contract.	D19
A01	operations	C03	Make direct import completion await resolution writes	A deferred direct import does not call onComplete until metadata/image/link persistence settles; placeholders remain immediate.	""
A02	operations	C03	Pass import cancellation through direct resolver requests	The direct path receives and forwards the operation AbortSignal to cancellable resolution requests.	A01
A03	operations	C03	Fence direct-import persistence after cancellation	Cancel or clear after placeholders prevents late card/image/refcount writes when deferred resolution returns.	A02
A04	operations	C03	Fence direct-import persistence after project changes	A direct import started in A cannot mutate obsolete targets after the active project changes.	A03
A05	operations	G01	Track an image processor's active task per worker	Dispatch and settle transitions maintain exactly one owned active task per busy worker with a focused worker mock.	""
A06	operations	G01	Reject active processing promises on cancelAll	Cancelling a dispatched task rejects once, empties active ownership and returns activity count to zero.	A05
A07	operations	G01	Settle queued and active promises on destroy	Destroy rejects all unfinished tasks exactly once and leaves no queue, active task or worker ownership.	A06
A08	operations	G01	Verify image-processing hook cleanup after active cancellation	A hook regression reaches finally and revokes its owned URL when a dispatched worker is cancelled.	A06
A09	operations	U02	Await the editor's single-card apply callback	A rejected single-card mutation retains the modal with an error; successful persistence closes it only afterward.	""
A10	operations	U02	Await the editor's selected-card apply callback	Selected-card apply exposes pending/error state and does not close before its callback settles.	A09
A11	operations	U02	Await the editor's all-card apply callback	All-card apply exposes pending/error state and closes only after successful project-scoped persistence.	A09,D13
A12	operations	U03	Fence artwork preview search responses by operation generation	An older automatic search resolving after a newer search cannot set preview data or auto-apply its first print.	""
A13	operations	U03	Fence Scryfall artwork selection writes by target and generation	An older Scryfall selection resolving after a newer intent/navigation cannot write artwork, links or success UI.	A12
